Item type,Compiler #,Review lane,Priority or queue,Chapter or lane,Date,Title,Access/release status,Pages,Page basis,NAID,Local identifier,Source locator,Next action,Source note,Catalog URL,PDF URL
Confirmed record,1.001,Confirmed access-status decision,Review ledger,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,Measured or recorded extent; verify item boundaries before final selection.,446394923,90006-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-001 | 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, OA/ID 90006-001.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
Confirmed record,1.002,Confirmed access-status decision,Review ledger,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,Measured or recorded extent; verify item boundaries before final selection.,470760975,90009-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-001 | 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90009-001.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
Confirmed record,1.003,Confirmed access-status decision,Review ledger,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",Restricted - Possibly,20 pages,Measured or recorded extent; verify item boundaries before final selection.,470760885,90000-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-001 | 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, OA/ID 90000-001.",https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
Confirmed record,1.004,Confirmed access-status decision,Review ledger,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",Restricted - Possibly,52 pages,Measured or recorded extent; verify item boundaries before final selection.,446396813,90003-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-004 | 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), OA/ID 90003-004.",https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
Confirmed record,4.001,Confirmed access-status decision,Review ledger,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",Restricted - Possibly,95 pages,Measured or recorded extent; verify item boundaries before final selection.,446394933,90006-011,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-011 | 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, OA/ID 90006-011.",https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
Confirmed record,1.006,Confirmed access-status decision,Review ledger,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,6 pages,Measured or recorded extent; verify item boundaries before final selection.,470760979,90009-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-005 | 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, OA/ID 90009-005.",https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
Confirmed record,1.007,Confirmed access-status decision,Review ledger,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",Restricted - Possibly,1 page,Measured or recorded extent; verify item boundaries before final selection.,470760888,90000-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-004 | 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), OA/ID 90000-004.",https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
Confirmed record,1.008,Confirmed access-status decision,Review ledger,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",Restricted - Possibly,43 pages,Measured or recorded extent; verify item boundaries before final selection.,446396815,90003-006,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-006 | 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), OA/ID 90003-006.",https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
Confirmed record,4.002,Confirmed access-status decision,Review ledger,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Restricted - Possibly,102 pages,Measured or recorded extent; verify item boundaries before final selection.,470760991,90009-017,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-017 | 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, OA/ID 90009-017.",https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
Confirmed record,3.003,Confirmed access-status decision,Review ledger,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Restricted - Possibly,45 pages,Measured or recorded extent; verify item boundaries before final selection.,470760996,90010-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90010-001 | 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), OA/ID 90010-001.",https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
