Compiler number,Finalization lane,Date,Chapter/lane,Title,Release/status,NAID,PDF pages,Citation marker found,Classification,Classification basis,Record group/collection,Collection/office of origin,Series,Subseries,OA/ID number,Folder ID number,Folder title,FOIA case(s),FRUS-style source-note target,Current site source note,Extraction status,Review note,Catalog URL,PDF URL
2.001,Citation sheet/title-page verification,1989-01-23,Pakistan,Memorandum of Telephone Conversation,Full,428079777,2,Yes,Confidential,OCR-normalized first-page match,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-001,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Confidential.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
2.002,Citation sheet/title-page verification,1989-01-25,Pakistan,Memorandum of Telephone Conversation,Full,428079809,2,Yes,,Not mechanically extracted,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-001,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",Citation marker extracted; classification needs visual check,Classification not mechanically extracted; inspect first page visually.,https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
3.001,Citation sheet/title-page verification,1989-02-23,India,Memorandum of Conversation,Full,428079855,4,Yes,Confidential,OCR-normalized first-page match,George H.W. Bush Presidential Records,National Security Council,Presidential Memcon Files,,CF01729,CF01729-002,[Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Confidential.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
2.003,Citation sheet/title-page verification,1989-02-24,Pakistan,Memorandum of Conversation,Full,428079859,6,Yes,Secret,OCR-normalized first-page match,George H.W. Bush Presidential Records,National Security Council,Presidential Memcon Files,,CF01729,CF01729-002,[Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Secret.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
2.005,Citation sheet/title-page verification,1989-06-06,Pakistan,Memorandum of Conversation,Full,428080031,4,Yes,Secret,Exact first-page text match,George H.W. Bush Presidential Records,National Security Council,Presidential Memcon Files,,CF01729,CF01729-006,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-006, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Secret.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
3.004,Citation sheet/title-page verification,1989-06-08,India,Memorandum of Telephone Conversation,Full,428080057,4,Yes,Secret,OCR-normalized first-page match,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-006,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Secret.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
2.009,Citation sheet/title-page verification,1989-06-10,Pakistan,Memorandum of Telephone Conversation,Full,428080061,2,Yes,,Not mechanically extracted,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-006,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",Citation marker extracted; classification needs visual check,Classification not mechanically extracted; inspect first page visually.,https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
3.005,Citation sheet/title-page verification,1989-07-04,India,Memorandum of Telephone Conversation,Full,428080113,3,Yes,Confidential,Exact first-page text match,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-007,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-007, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Confidential.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
2.010,Citation sheet/title-page verification,1989-08-05,Pakistan,Memorandum of Telephone Conversation,Full,428080169,3,Yes,Secret,Exact first-page text match,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-008,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-008, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Secret.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Full release.",Citation marker extracted,Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
3.006,Citation sheet/title-page verification,1989-10-18,India,Memorandum of Telephone Conversation,Full,428080301,2,Yes,,Not mechanically extracted,George H.W. Bush Presidential Records,National Security Council,Presidential Telcon Files,,CF01731,CF01731-010,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-010, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. Full release.",Citation marker extracted; classification needs visual check,Classification not mechanically extracted; inspect first page visually.,https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
