Compiler #,Queue,Chapter,Date,Title,Type,Participants,Countries,Release status,Pages,NAID,Local identifier,Series NAID,Source pages,Object filename,Source locator,Source note,Provenance note,Provenance links,Daily Diary refs,Daily Diary details,Date line,Subject line,Topics,Compiler risks,Next action,Catalog URL,PDF URL
2.001,Released chronology,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Telcon,George H. W. Bush; Benazir Bhutto,Pakistan,Full,1,428079777,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,321498139,,1989-01-23--Bhutto.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/23/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079777. National Archives Catalog item: Telephone Conversation with Prime Minister Benazir Bhutto of Pakistan, January 23, 1989, NAID 428079777. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-23--Bhutto.pdf, object ID 428079778, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 14-14.",https://catalog.archives.gov/id/428079777; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf; https://catalog.archives.gov/id/321498139; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580; https://catalog.archives.gov/id/415889605; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf,Presidential Daily Backup 12789-008,Presidential Daily Backup | [Presidential Daily Backup] 1/23/1989 | 12789-008 | https://catalog.archives.gov/id/415889605 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf | matched: Benazir; Bhutto; Pakistan,"January 23, 1989","Telephone Conversation with Prime Minister Benazir Bhutto of Pakistan, January 23, 1989",South Asia; Pakistan; Bush Library Memcons and Telcons; Telcon; South Asia; Pakistan; Telcon; Head of state; Presidential Daily Diary cross-reference,catalog-derived-source-note,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
2.002,Released chronology,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Telcon,George H. W. Bush; Ghulam Ishaq Khan,Pakistan,Full,1,428079809,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,321498139,,1989-01-25--Khan.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/25/1989; Type Telcon; Participants Khan, Ghulam Ishaq; Country Pakistan; Release Status Full; NAID 428079809. National Archives Catalog item: Telephone Conversation with President Ghulam Ishaq Khan of Pakistan, January 25, 1989, NAID 428079809. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-25--Khan.pdf, object ID 428079810, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 34-34.",https://catalog.archives.gov/id/428079809; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf; https://catalog.archives.gov/id/321498139; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580; https://catalog.archives.gov/id/415889608; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-011_415889608.pdf; https://catalog.archives.gov/id/415889609; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-012_415889609.pdf,Presidential Daily Diary 12789-011; Presidential Daily Backup 12789-012,Presidential Daily Diary | [Presidential Daily Diary] 1/25/1989 | 12789-011 | https://catalog.archives.gov/id/415889608 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-011_415889608.pdf | matched: Ghulam; Ishaq; Khan; Pakistan; Presidential Daily Backup | [Presidential Daily Backup] 1/25/1989 | 12789-012 | https://catalog.archives.gov/id/415889609 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-012_415889609.pdf | matched: Ghulam; Ishaq; Khan; Pakistan,"January 25, 1989","Telephone Conversation with President Ghulam Ishaq Khan of Pakistan, January 25, 1989",South Asia; Pakistan; Bush Library Memcons and Telcons; Telcon; South Asia; Pakistan; Telcon; Head of state; Presidential Daily Diary cross-reference,catalog-derived-source-note,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
1.001,Review ledger,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",National Security Review source file,National Security Council,Afghanistan,Restricted - Possibly,30,446394923,90006-001,313189297,,41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-001,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, 90006-001. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Review (NSR) Files, 90006-001, NAID 446394923. Catalog URL: https://catalog.archives.gov/id/446394923. Series URL: https://catalog.archives.gov/id/313189297. Digital object: 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf, object ID 483296573, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf. Page count: 30 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394923; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf; https://catalog.archives.gov/id/313189297; https://catalog.archives.gov/id/2163580,,,"February 7, 1989","NSR-1 - February 07, 1989 - Afghanistan",South Asia; Afghanistan; NSR Files; Measured pages; South Asia; Afghanistan; National Security Review source file; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
1.002,Review ledger,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Deputies Committee meeting minutes,Deputies Committee,Afghanistan,Restricted - Possibly,52,470760975,90009-001,312294079,,41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-001,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, 90009-001. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-001, NAID 470760975. Catalog URL: https://catalog.archives.gov/id/470760975. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf, object ID 483295786, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf. Page count: 52 (measured from available PDF). FOIA tracking: 2005-0052-F, 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760975; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf; https://catalog.archives.gov/id/312294079; https://catalog.archives.gov/id/2163580,,,"February 8, 1989","NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",South Asia; Afghanistan; NSC/DC Meetings; Measured pages; South Asia; Afghanistan; Deputies Committee meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
1.003,Review ledger,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",NSC meeting minutes,National Security Council,Afghanistan,Restricted - Possibly,20,470760885,90000-001,312293887,,41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-001,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, 90000-001. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC) Meeting Files, 90000-001, NAID 470760885. Catalog URL: https://catalog.archives.gov/id/470760885. Series URL: https://catalog.archives.gov/id/312293887. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf, object ID 483296377, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf. Page count: 20 (measured from available PDF). FOIA tracking: 2005-1003-F, 2005-0052-F, 2009-0857-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90000. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426212, CF01625-001.",https://catalog.archives.gov/id/470760885; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf; https://catalog.archives.gov/id/312293887; https://catalog.archives.gov/id/2163580,,,"February 10, 1989","NSC0001 - February 10, 1989 - Afghanistan",South Asia; Afghanistan; NSC Meeting Files; Measured pages; South Asia; Afghanistan; NSC meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
1.004,Review ledger,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",National Security Directive source file,National Security Council,Afghanistan,Restricted - Possibly,52,446396813,90003-004,313189290,,41-bpr-nsc-hfiles-nsd-3-90003-004.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-004,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), 90003-004. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Directive (NSD) Files, 90003-004, NAID 446396813. Catalog URL: https://catalog.archives.gov/id/446396813. Series URL: https://catalog.archives.gov/id/313189290. Digital object: 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf, object ID 483296494, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf. Page count: 52 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396813; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf; https://catalog.archives.gov/id/313189290; https://catalog.archives.gov/id/2163580,,,"February 13, 1989","NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",South Asia; Afghanistan; NSD Files; Measured pages; South Asia; Afghanistan; National Security Directive source file; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
4.001,Review ledger,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",National Security Review source file,National Security Council,South Asia,Restricted - Possibly,95,446394933,90006-011,313189297,,41-bpr-nsc-hfiles-nsr-8-90006-011.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-011,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, 90006-011. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Review (NSR) Files, 90006-011, NAID 446394933. Catalog URL: https://catalog.archives.gov/id/446394933. Series URL: https://catalog.archives.gov/id/313189297. Digital object: 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf, object ID 483296636, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf. Page count: 95 (measured from available PDF). Other finding aid identifier: Pres-Bush. Container: 90006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394933; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf; https://catalog.archives.gov/id/313189297; https://catalog.archives.gov/id/2163580,,,"February 22, 1989","NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",South Asia; Regional; NSR Files; Measured pages; South Asia; Regional; National Security Review source file; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
3.001,Released chronology,India,1989-02-23,Memorandum of Conversation,Memcon,George H. W. Bush; R. Venkataraman,India,Full,9,428079855,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,321498039,,1989-02-23--Venkataraman.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/23/1989; Type Memcon; Participants Venkataraman, Ramaswamy Iyer; Country India; Release Status Full; NAID 428079855. National Archives Catalog item: President's Meeting with President Ramaswamy Iyer Venkataraman of India, February 23, 1989, NAID 428079855. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-23--Venkataraman.pdf, object ID 428079856, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 55-63.",https://catalog.archives.gov/id/428079855; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf; https://catalog.archives.gov/id/321498039; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580,,,"February 23, 1989","President's Meeting with President Ramaswamy Iyer Venkataraman of India, February 23, 1989",South Asia; India; Bush Library Memcons and Telcons; Memcon; South Asia; India; Memcon; Head of state,catalog-derived-source-note,Resolve compiler risk: catalog-derived-source-note.,https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
1.005,Released chronology,Afghanistan,1989-02-24,Memorandum of Conversation,Memcon,George H. W. Bush; Turgut Ozal,Afghanistan; Turkey,Declassified,4,366551660,91107-001,4545941,75-78,41-bpr-scow-pcor-memcon-91107-001.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, source pages 75-78. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 75-78.",https://catalog.archives.gov/id/366551660; documents/afghanistan/1989-02-24-bush-turgut-ozal-memcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-001.pdf; https://catalog.archives.gov/id/4522156; https://catalog.archives.gov/id/415889669; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf,Presidential Daily Backup 12791-016,Presidential Daily Backup | [Presidential Daily Backup] 2/24/1989 | 12791-016 | https://catalog.archives.gov/id/415889669 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf | matched: Turgut; Ozal; Turkey,"February 24, 1989",President’s Meeting with Prime Minister Turgut Ozal of Turkey (J),South Asia; Afghanistan; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; Afghanistan; Memcon; Head of state; Presidential Daily Diary cross-reference,,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/366551660,documents/afghanistan/1989-02-24-bush-turgut-ozal-memcon-scowcroft.pdf
2.003,Released chronology,Pakistan,1989-02-24,Memorandum of Conversation,Memcon,George H. W. Bush; Benazir Bhutto,Pakistan,Full,7,428079859,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,321498039,,1989-02-24--Bhutto.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/24/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079859. National Archives Catalog item: President's Meeting with Prime Minister Benazir Bhutto of Pakistan, February 24, 1989, NAID 428079859. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-24--Bhutto.pdf, object ID 428079860, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 79-85.",https://catalog.archives.gov/id/428079859; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf; https://catalog.archives.gov/id/321498039; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580; https://catalog.archives.gov/id/415889669; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf,Presidential Daily Backup 12791-016,Presidential Daily Backup | [Presidential Daily Backup] 2/24/1989 | 12791-016 | https://catalog.archives.gov/id/415889669 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf | matched: Benazir; Bhutto; Pakistan; Pakistani,"February 24, 1989","President's Meeting with Prime Minister Benazir Bhutto of Pakistan, February 24, 1989",South Asia; Pakistan; Bush Library Memcons and Telcons; Memcon; South Asia; Pakistan; Memcon; Head of state; Presidential Daily Diary cross-reference,catalog-derived-source-note,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
