Review order,Priority,Item type,Chapter or lane,Date,Title,NAID,Extraction status,Reported pages,Measured pages,Text pages,Administrative-marker pages,Withdrawal/redaction pages,OCR attempted,OCR failed,Candidate pages,Top hit terms,Recommendation,Catalog URL,PDF URL
1,Critical,Potential lead,Afghanistan,1989-01-01,Working Files - Afghanistan 1989-1992 [2],470426597,OCR sidecar extracted,,89,68,0,20,Yes,,"4, 6, 11, 13, 47, 59",Afghanistan; Pakistan; Bangladesh; Sanctions; Security; Policy; Meeting; India; Nuclear,"OCR produced searchable text; screen pages 4, 6, 11, 13, 47, 59 for promotion and record selected/excluded page ranges.",https://catalog.archives.gov/id/470426597,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/working_2554877/41-bpr-nsc-haass_working-cf01304-011.pdf
2,Critical,Potential lead,Afghanistan,1989-01-20,Afghanistan - Charles,470426255,OCR sidecar extracted,,47,43,1,0,Yes,,"9, 24, 28, 31, 34, 37",Afghanistan; Pakistan; India; Security; Nuclear; Policy,"OCR produced searchable text; screen pages 9, 24, 28, 31, 34, 37 for promotion and record selected/excluded page ranges.",https://catalog.archives.gov/id/470426255,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-013.pdf
3,Critical,Confirmed record,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",470426381,OCR sidecar extracted,35 pages,35,26,0,8,Yes,,"2, 8, 15, 17, 24, 27",Afghanistan; Security; Policy; Meeting; Pakistan,"OCR produced searchable text; verify pages 1-35 against title, source note, and exclusion rationale.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
4,Critical,Confirmed record,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",470426231,OCR sidecar extracted,29 pages,29,9,0,19,Yes,,"4-5, 7, 12, 24, 29",Pakistan; Nuclear; Security; Meeting; Sanctions; India; Afghanistan,"OCR produced searchable text; verify pages 1-29 against title, source note, and exclusion rationale.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
5,Critical,Confirmed record,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",470426240,OCR sidecar extracted,81 pages,81,60,0,20,Yes,,"6-8, 24-26",Pakistan; India; Kashmir; Nuclear; Sanctions; Security; Policy; Meeting; Afghanistan,"OCR produced searchable text; verify pages 1-81 against title, source note, and exclusion rationale.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf
6,Critical,Potential lead,Regional,1989-01-20,Bangladesh,645608041,OCR sidecar extracted,,18,10,0,7,Yes,,"3, 9, 11, 13, 15, 17",Bangladesh; Security; Meeting; Policy,"OCR produced searchable text; screen pages 3, 9, 11, 13, 15, 17 for promotion and record selected/excluded page ranges.",https://catalog.archives.gov/id/645608041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31842-009.pdf
7,Critical,Potential lead,Regional,1989-01-20,Letters on Kashmir,470426145,OCR sidecar extracted,,194,189,1,0,Yes,,"12, 17, 27, 36, 83, 141",Afghanistan; Pakistan; India; Kashmir; Security; Policy; Meeting,"OCR produced searchable text; screen pages 12, 17, 27, 36, 83, 141 for promotion and record selected/excluded page ranges.",https://catalog.archives.gov/id/470426145,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/correspondence_2554865/41-bpr-nsc-haass_correspondence-cf01479-008.pdf
8,Critical,Potential lead,Regional,1990-03-26,"NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir",470426225,Withdrawal/redaction sheets only; OCR/manual review needed,,9,0,0,8,Yes,,,,OCR found withdrawal/redaction sheets but no released searchable text; use the sheets to document withheld or cite-only context before final selection.,https://catalog.archives.gov/id/470426225,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-014.pdf
9,Critical,Potential lead,Regional,1992-03-19,"President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992",470426266,OCR sidecar extracted,,64,40,0,23,Yes,,"5, 9, 34, 36, 48, 53",Bangladesh; Security; Policy; Meeting; Sanctions; Pakistan; India; Afghanistan,"OCR produced searchable text; screen pages 5, 9, 34, 36, 48, 53 for promotion and record selected/excluded page ranges.",https://catalog.archives.gov/id/470426266,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-024.pdf
10,Critical,Confirmed record,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",470426238,OCR sidecar extracted,8 pages,8,1,0,6,Yes,,8,Kashmir; Meeting,"OCR produced searchable text; verify pages 1-8 against title, source note, and exclusion rationale.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
