Item type,Decision (Select / Exclude / Defer / Cite only / Resolved),Decision date,Owner,Decision rationale,Follow-up,Item ID,Compiler #,Priority or queue,Chapter or lane,Date,Title,Status,Pages,NAID or target records,Source locator,Next action,Source note or need,Catalog URL,PDF URL
Confirmed record,,,,,,bush-library-428079777,2.001,Released chronology,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Full,1 page,428079777; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-23--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
Confirmed record,,,,,,bush-library-428079809,2.002,Released chronology,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Full,1 page,428079809; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-25--Khan.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Full release.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
Confirmed record,,,,,,nsc-source-446394923,1.001,Review ledger,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,446394923; 90006-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-001 | 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, 90006-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
Confirmed record,,,,,,nsc-source-470760975,1.002,Review ledger,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,470760975; 90009-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-001 | 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, 90009-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
Confirmed record,,,,,,nsc-source-470760885,1.003,Review ledger,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",Restricted - Possibly,20 pages,470760885; 90000-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-001 | 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, 90000-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
Confirmed record,,,,,,nsc-source-446396813,1.004,Review ledger,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",Restricted - Possibly,52 pages,446396813; 90003-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-004 | 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), 90003-004. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
Confirmed record,,,,,,nsc-source-446394933,4.001,Review ledger,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",Restricted - Possibly,95 pages,446394933; 90006-011,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-011 | 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, 90006-011. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
Confirmed record,,,,,,bush-library-428079855,3.001,Released chronology,India,1989-02-23,Memorandum of Conversation,Full,9 pages,428079855; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-23--Venkataraman.pdf,Resolve compiler risk: catalog-derived-source-note.,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
Confirmed record,,,,,,scowcroft-366551660-75-turgut-ozal-memcon,1.005,Released chronology,Afghanistan,1989-02-24,Memorandum of Conversation,Declassified,4 pages,366551660; 91107-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001 | source pages 75-78 | 41-bpr-scow-pcor-memcon-91107-001.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, source pages 75-78. Declassified.",https://catalog.archives.gov/id/366551660,documents/afghanistan/1989-02-24-bush-turgut-ozal-memcon-scowcroft.pdf
Confirmed record,,,,,,bush-library-428079859,2.003,Released chronology,Pakistan,1989-02-24,Memorandum of Conversation,Full,7 pages,428079859; [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-24--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989. Full release.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
