Compiler number,Date,Date line,Chapter,Release status,Document type,Title,Subject line,Pages,Countries,Participants,Source label,FRUS-style source note candidate,Citation/source-note basis,Full provenance note,Compiler action,Daily Diary/Backup references,Compiler risks,NAID,Local identifier,Catalog URL,PDF URL
2.001,1989-01-23,"January 23, 1989",Pakistan,Full,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Benazir Bhutto of Pakistan, January 23, 1989",1,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Confidential.",Citation marker extracted; classification Confidential; OCR-normalized first-page match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/23/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079777. National Archives Catalog item: Telephone Conversation with Prime Minister Benazir Bhutto of Pakistan, January 23, 1989, NAID 428079777. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-23--Bhutto.pdf, object ID 428079778, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 14-14.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12789-008 | [Presidential Daily Backup] 1/23/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_23_89-12789-008_415889605.pdf | matches Benazir; Bhutto; Pakistan,catalog-derived-source-note,428079777,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
2.002,1989-01-25,"January 25, 1989",Pakistan,Full,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Ghulam Ishaq Khan of Pakistan, January 25, 1989",1,Pakistan,George H. W. Bush; Ghulam Ishaq Khan,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. No classification marking.",Citation marker extracted; classification No classification marking; Visual first-page image inspection; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/25/1989; Type Telcon; Participants Khan, Ghulam Ishaq; Country Pakistan; Release Status Full; NAID 428079809. National Archives Catalog item: Telephone Conversation with President Ghulam Ishaq Khan of Pakistan, January 25, 1989, NAID 428079809. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-25--Khan.pdf, object ID 428079810, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 34-34.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12789-011 | [Presidential Daily Diary] 1/25/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-011_415889608.pdf | matches Ghulam; Ishaq; Khan; Pakistan
Presidential Daily Backup | 12789-012 | [Presidential Daily Backup] 1/25/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-01_25_89-12789-012_415889609.pdf | matches Ghulam; Ishaq; Khan; Pakistan",catalog-derived-source-note,428079809,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
3.001,1989-02-23,"February 23, 1989",India,Full,Memcon,Memorandum of Conversation,"President's Meeting with President Ramaswamy Iyer Venkataraman of India, February 23, 1989",9,India,George H. W. Bush; R. Venkataraman,George Bush Library | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Confidential.",Citation marker extracted; classification Confidential; OCR-normalized first-page match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/23/1989; Type Memcon; Participants Venkataraman, Ramaswamy Iyer; Country India; Release Status Full; NAID 428079855. National Archives Catalog item: President's Meeting with President Ramaswamy Iyer Venkataraman of India, February 23, 1989, NAID 428079855. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-23--Venkataraman.pdf, object ID 428079856, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 55-63.",Resolve compiler risks: catalog-derived-source-note.,,catalog-derived-source-note,428079855,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
1.005,1989-02-24,"February 24, 1989",Afghanistan,Declassified,Memcon,Memorandum of Conversation,President’s Meeting with Prime Minister Turgut Ozal of Turkey (J),4,Afghanistan; Turkey,George H. W. Bush; Turgut Ozal,George Bush Library | Presidential Correspondence Files | 91107-001,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, OA/ID 91107-001, source pages 75-78.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 75-78.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12791-016 | [Presidential Daily Backup] 2/24/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf | matches Turgut; Ozal; Turkey,,366551660,91107-001,https://catalog.archives.gov/id/366551660,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/afghanistan/1989-02-24-bush-turgut-ozal-memcon-scowcroft.pdf
2.003,1989-02-24,"February 24, 1989",Pakistan,Full,Memcon,Memorandum of Conversation,"President's Meeting with Prime Minister Benazir Bhutto of Pakistan, February 24, 1989",7,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Secret.",Citation marker extracted; classification Secret; OCR-normalized first-page match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/24/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079859. National Archives Catalog item: President's Meeting with Prime Minister Benazir Bhutto of Pakistan, February 24, 1989, NAID 428079859. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-24--Bhutto.pdf, object ID 428079860, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 79-85.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12791-016 | [Presidential Daily Backup] 2/24/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_24_89-12791-016_415889669.pdf | matches Benazir; Bhutto; Pakistan; Pakistani,catalog-derived-source-note,428079859,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
2.004,1989-02-25,"February 25, 1989",Pakistan,Declassified,Memcon,Memorandum of Conversation,"Welcoming Banquet in Beijing, China",2,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Correspondence Files | 91107-001,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, OA/ID 91107-001, source pages 111-112.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 111-112.",Ready for source-note and selection review.,,,366551660,91107-001,https://catalog.archives.gov/id/366551660,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1989-02-25-bush-benazir-bhutto-memcon-scowcroft.pdf
3.002,1989-02-26,"February 26, 1989",India,Declassified,Memcon,Memorandum of Conversation,President Bush’s Meeting with General Secretary of the Central Committee of the Communist Party Zhao Ziyang of the People’s Republic of China,12,India; China,George H. W. Bush; Zhao Ziyang,George Bush Library | Presidential Correspondence Files | 91107-002,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, OA/ID 91107-002, source pages 21-32.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, 91107-002, NAID 366551661, source pages 21-32.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12791-020 | [Presidential Daily Backup] 2/26/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_26_89-12791-020_415889673.pdf | matches Zhao; Ziyang; China; Central; Committee; Communist; Party; People; Republic,,366551661,91107-002,https://catalog.archives.gov/id/366551661,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/india/1989-02-26-bush-zhao-ziyang-memcon-scowcroft.pdf
1.009,1989-04-11,"April 11, 1989",Afghanistan,Declassified,Telcon,Memorandum of a Telephone Conversation,Telephone Conversation with King Fahd of Saudi Arabia,2,Afghanistan; Saudi Arabia,George H. W. Bush; King Fahd,George Bush Library | Presidential Correspondence Files | 91111-001,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, OA/ID 91111-001, source pages 65-66.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, 91111-001, NAID 366551686, source pages 65-66.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12794-017 | [Presidential Daily Diary] 4/11/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-017_415889760.pdf | matches Fahd; Saudi; Arabia
Presidential Daily Backup | 12794-018 | [Presidential Daily Backup] 4/11/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-018_415889761.pdf | matches Fahd; Saudi; Arabia",,366551686,91111-001,https://catalog.archives.gov/id/366551686,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/afghanistan/1989-04-11-bush-king-fahd-telcon-scowcroft.pdf
2.005,1989-06-06,"June 6, 1989",Pakistan,Full,Memcon,Memorandum of Conversation,"Plenary Meeting with Prime Minister Bhutto of Pakistan, June 6, 1989",3,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Memcon Files | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989 | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-006, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Secret.",Citation marker extracted; classification Secret; Exact first-page text match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/6/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080031. National Archives Catalog item: Plenary Meeting with Prime Minister Bhutto of Pakistan, June 6, 1989, NAID 428080031. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989, NAID 325377389. Digital object: 1989-06-06--Bhutto.pdf, object ID 428080032, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551663, 91107-004, source pages 21-23; Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Presidential Meeting Files, NAID 470426373, CF01404-020.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12798-025 | [Presidential Daily Diary] 6/6/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-025_415889872.pdf | matches Benazir; Bhutto; Pakistan; Pakistani
Presidential Daily Backup | 12798-026 | [Presidential Daily Backup] 6/6/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-026_415889873.pdf | matches Bhutto; Pakistan",catalog-derived-source-note,428080031,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
2.006,1989-06-07,"June 7, 1989",Pakistan,Declassified,Telcon,Memorandum of a Telephone Conversation,"Telephone Conversation with Guillermo Endara, President-elect of Panama _ (UV)",5,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Correspondence Files | 91111-002,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 51-55.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 51-55.",Ready for source-note and selection review.,,,366551687,91111-002,https://catalog.archives.gov/id/366551687,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1989-06-07-bush-benazir-bhutto-telcon-scowcroft.pdf
