Gap ID,Priority,Status,Gap lane,Gap title,Section order,Section,Item type,Item ID,Compiler #,Chapter or lane,Date,Title,NAID or targets,Source pool,Pages,Access or status,Issue,Closure question,Next action,Catalog URL,PDF URL
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,0,Gap brief,Gap brief,gap-haass-page-level-extraction,,Source Extraction,,Recover page-level boundaries in Haass and meeting-file PDFs,470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,,Partly remediated,Item-level page ranges and titles still need review for folder-level Haass PDFs; page-count zeros have been removed where online PDFs are available.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,"Afghanistan:Afghanistan policy, civil war, and aid",,Afghanistan,,"Afghanistan policy, civil war, and aid",470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,425 pages,Access-heavy,Confirmed 21; leads 12; related gaps 2.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Finish page-boundary screening in Haass and Cheney files, then decide which restricted NSC/H-Files records become selected documents or cite-only context. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,Regional:Bangladesh and smaller South Asia states,,Regional,,Bangladesh and smaller South Asia states,470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,6 pages,Thin; promote or exclude leads,Confirmed 1; leads 2; related gaps 4.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Resolve the Bangladesh Zia internal/public pair and keep Sri Lanka/Maldives public items contextual until internal files are located. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,"India:India Kashmir, nuclear, and regional security",,India,,"India Kashmir, nuclear, and regional security",470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,,Missing lane,Confirmed 0; leads 0; related gaps 5.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Screen Kashmir, Gates, and Haass leads so the India chapter is not limited to leader calls and Cheney country folders. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,"Pakistan:Pakistan leadership, aid, and bilateral management",,Pakistan,,"Pakistan leadership, aid, and bilateral management",470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,348 pages,Gap-linked review,Confirmed 26; leads 10; related gaps 6.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Separate policy-bearing presidential conversations from public/context locators and verify source notes against the PDF or citation sheet. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,"Pakistan:Pakistan nuclear, sanctions, and security",,Pakistan,,"Pakistan nuclear, sanctions, and security",470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,185 pages,Access-heavy,Confirmed 3; leads 1; related gaps 4.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Pair the restricted H-Files nuclear sequence with Gates, Cheney, and Haass companion files before treating the 1990 policy arc as complete. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.",,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,1,Chapter lane,Chapter lane,Regional:Regional South Asia strategy,,Regional,,Regional South Asia strategy,470426597; 470426255; 470426381; 428082145; 470426231; 470426238; 470426240,Richard N. Haass' Working Files; Richard N. Haass' Meeting Files; Bush Library Memcons and Telcons; H-Files NSC/DC Meetings,252 pages,Gap-linked review,Confirmed 5; leads 5; related gaps 2.,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?",Keep true regionwide strategy files distinct from Kashmir and Bangladesh so selection rationale stays clear. Gap cue: Promote Kashmir leads 470426145 and 470426225 into a focused review queue.,,
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,2,Confirmed chronology anchor,Confirmed record,470426381-presidential-visit-of-president-of-afghanistan-interim-government-sibgahtullah-mojaddedi-november-27-1989,1.014,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",470426381; CF01404-028,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Presidential Meeting Files | CF01404-028,35 pages,Restricted - Possibly,catalog-derived-source-note; declassification-review,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?","Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,2,Confirmed chronology anchor,Confirmed record,470426231-nsc-dc-meeting-july-16-1990-re-pakistan-nuclear-program,2.017,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",470426231; CF01625-020,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-020,29 pages,Restricted - Possibly,catalog-derived-source-note; declassification-review,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?",Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
gap-haass-page-level-extraction,Critical,Partly remediated,Source Extraction,Recover page-level boundaries in Haass and meeting-file PDFs,2,Confirmed chronology anchor,Confirmed record,470426238-nsc-dc-deputies-committee-meeting-october-4-1990-re-pakistan,2.021,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",470426238; CF01625-027,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-027,8 pages,Restricted - Possibly,catalog-derived-source-note; declassification-review,"Have exact item boundaries, title, pages, access posture, and source-note wording been fixed for every selected document?",Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
