Item type,Review order,Priority,Boundary score,Compiler #,Chapter or lane,Date,Title,Release or status,Pages,Page basis,NAID,Local identifier,Source family,Source locator,Matched gaps,Boundary reasons,Boundary question,Next action,Source note,Catalog URL,PDF URL
Potential lead,1,Critical,141,,Afghanistan,1989-01-01,Working Files - Afghanistan 1989-1992 [2],Restricted - Possibly; Online object available,,No stable page count recorded.,470426597,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Working Files | Richard N. Haass' Working Files | NAID 470426597 | 41-bpr-nsc-haass_working-cf01304-011.pdf,Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search,critical gap target; high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Working Files, Working Files - Afghanistan 1989-1992 [2].",https://catalog.archives.gov/id/470426597,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/working_2554877/41-bpr-nsc-haass_working-cf01304-011.pdf
Potential lead,2,Critical,141,,Afghanistan,1989-01-20,Afghanistan - Charles,Restricted - Possibly; Online object available,,No stable page count recorded.,470426255,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426255 | 41-bpr-nsc-haass_meeting-cf01447-013.pdf,Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search,critical gap target; high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, Afghanistan - Charles.",https://catalog.archives.gov/id/470426255,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-013.pdf
Confirmed record,3,Critical,115,1.014,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426381,CF01404-028,Richard N. Haass' Presidential Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Presidential Meeting Files | CF01404-028 | 41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",critical gap target; high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, OA/ID CF01404-028.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
Confirmed record,4,Critical,115,2.017,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426231,CF01625-020,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-020 | 41-bpr-nsc-haass_meeting-cf01625-020.pdf,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",critical gap target; high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, OA/ID CF01625-020.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
Confirmed record,5,Critical,115,2.023,Pakistan,1990-10-09,"NSC/DC Meeting - October 9, 1990 Re: Pakistan",Restricted - Possibly,81 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426240,CF01625-029,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-029 | 41-bpr-nsc-haass_meeting-cf01625-029.pdf,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",critical gap target; high-priority gap target; folder or staff-file source pool; access review affects selection; large PDF extent; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - October 9, 1990 Re: Pakistan, OA/ID CF01625-029.",https://catalog.archives.gov/id/470426240,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-029.pdf
Potential lead,6,Critical,108,,Regional,1989-01-20,Bangladesh,Restricted - Partly; Online object available,,No stable page count recorded.,645608041,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645608041 | 41-bpr-dhm-cheney-country-31842-009.pdf,"High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Bangladesh.",https://catalog.archives.gov/id/645608041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31842-009.pdf
Potential lead,7,Critical,108,,Regional,1989-01-20,Letters on Kashmir,Restricted - Possibly; Online object available,,No stable page count recorded.,470426145,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Correspondence Files | Richard N. Haass' Correspondence Files | NAID 470426145 | 41-bpr-nsc-haass_correspondence-cf01479-008.pdf,"High: Build an India policy lane beyond leader conversations; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Correspondence Files, Letters on Kashmir.",https://catalog.archives.gov/id/470426145,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/correspondence_2554865/41-bpr-nsc-haass_correspondence-cf01479-008.pdf
Potential lead,8,Critical,108,,Regional,1990-03-26,"NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir",Restricted - Possibly; Online object available,,No stable page count recorded.,470426225,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426225 | 41-bpr-nsc-haass_meeting-cf01625-014.pdf,"High: Build an India policy lane beyond leader conversations; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Teleconference - March 26, 1990 Re: Kashmir.",https://catalog.archives.gov/id/470426225,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-014.pdf
Potential lead,9,Critical,108,,Regional,1992-03-19,"President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992",Restricted - Possibly; Online object available,,No stable page count recorded.,470426266,,NSC files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | Richard N. Haass' Meeting Files | NAID 470426266 | 41-bpr-nsc-haass_meeting-cf01447-024.pdf,"High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, President's Meeting with Prime Minister Zia of Bangladesh - March 19, 1992.",https://catalog.archives.gov/id/470426266,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01447-024.pdf
Confirmed record,10,Critical,107,2.021,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",Restricted - Possibly,8 pages,Recorded extent; still verify selected item boundaries before final numbering.,470426238,CF01625-027,Richard N. Haass' Meeting Files,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-027 | 41-bpr-nsc-haass_meeting-cf01625-027.pdf,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; Medium: Audit source notes, titles, and provenance before final numbering",critical gap target; high-priority gap target; folder or staff-file source pool; access review affects selection; source page range not fixed; catalog-derived title/source note,"Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?","Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan, OA/ID CF01625-027.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
