Row type,Participant label,Authority status,Authority name,Authority entry,Agency,Categories,Record count,Chapters,First date,Last date,Representative records,Next action,Notes
Authority context entry,,Not named in confirmed participant metadata,"Abington, Edward G.","Abington, Edward G., Political Counselor, U.S. Embassy in Islamabad; Office of Pakistan, Afghanistan, and Bangladesh Affairs, Department of State",State,South Asia posts; Pakistan; Afghanistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Atwood, Donald J., Jr.","Atwood, Donald J., Jr., Deputy Secretary of Defense from April 24, 1989, until January 20, 1993",Defense,Core officials; Defense and security,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Baker, James Addison, III","Baker, James Addison, III, Secretary of State from January 25, 1989, until August 23, 1992; White House Chief of Staff from August 24, 1992, until January 20, 1993",State,Core officials; White House,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Bartholomew, Reginald","Bartholomew, Reginald, U.S. Ambassador to Spain until March 12, 1989; Under Secretary of State for Security Assistance, Science and Technology from February 1989 until April 30, 1990; Under Secretary of State for International Security Affairs from April 30, 1990, until June 1992; U.S. Permanent Representative to the North Atlantic Treaty Organization from June 15, 1992",State,Defense and security; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Bloch, Julia Chang","Bloch, Julia Chang, Assistant Administrator, Asia and Near East Bureau, Agency for International Development; U.S. Ambassador to Nepal",AID,Economic policy; South Asia posts; Nepal,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Borg, Anna","Borg, Anna, Deputy Director, Office of Pakistan, Afghanistan, and Bangladesh Affairs, Department of State",State,South Asia officials; Pakistan; Afghanistan; Bangladesh,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Boucher, Richard A.","Boucher, Richard A., Deputy Director for Political Affairs, Office of European Security and Political Affairs, Bureau of European and Canadian Affairs, Department of State [1989]; Deputy Spokesperson, Bureau of Public Affairs, Department of State, from March 27, 1989; acting Assistant Secretary of State for Public Affairs and Spokesperson during 1992",State,Public affairs,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Brady, Nicholas Frederick","Brady, Nicholas Frederick, Secretary of the Treasury until January 17, 1993",Treasury,Economic policy; Core officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Brill, Kenneth C.","Brill, Kenneth C., Consul General, Calcutta; Deputy Chief of Mission, U.S. Embassy in New Delhi",State,South Asia posts; India,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Butcher, W. Scott","Butcher, W. Scott, Director, Office of Bhutan, India, Maldives, Nepal, Sri Lanka Affairs, Department of State",State,South Asia officials; India; Sri Lanka; Nepal; Maldives,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
