Item type,Compiler #,Audit status,Editorial lane,Issue count,Issues,Next action,Chapter or lane,Date,Title,Release or status,Pages,NAID,Local identifier,Source locator,Source-note basis,Published FRUS status,FRUS standard checklist,Source note,Provenance note,Catalog URL,PDF URL
Confirmed record,2.001,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-01-23,Memorandum of Telephone Conversation,Full,1 page,428079777,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-23--Bhutto.pdf,Bush Library citation-marker extraction; original classification Confidential.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. Confidential.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/23/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079777. National Archives Catalog item: Telephone Conversation with Prime Minister Benazir Bhutto of Pakistan, January 23, 1989, NAID 428079777. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-23--Bhutto.pdf, object ID 428079778, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 14-14.",https://catalog.archives.gov/id/428079777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-23--Bhutto.pdf
Confirmed record,2.002,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-01-25,Memorandum of Telephone Conversation,Full,1 page,428079809,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989 | 1989-01-25--Khan.pdf,Bush Library citation-marker extraction; no classification marking on first page.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-001, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989. No classification marking.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/25/1989; Type Telcon; Participants Khan, Ghulam Ishaq; Country Pakistan; Release Status Full; NAID 428079809. National Archives Catalog item: Telephone Conversation with President Ghulam Ishaq Khan of Pakistan, January 25, 1989, NAID 428079809. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: January 1989, NAID 322361434. Digital object: 1989-01-25--Khan.pdf, object ID 428079810, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551686, 91111-001, source pages 34-34.",https://catalog.archives.gov/id/428079809,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-01-25--Khan.pdf
Confirmed record,1.001,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-02-07,"NSR-1 - February 07, 1989 - Afghanistan",Restricted - Possibly,30 pages,446394923,90006-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-001 | 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-1 - February 07, 1989 - Afghanistan, OA/ID 90006-001.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Review (NSR) Files, 90006-001, NAID 446394923. Catalog URL: https://catalog.archives.gov/id/446394923. Series URL: https://catalog.archives.gov/id/313189297. Digital object: 41-bpr-nsc-hfiles-nsr-1-90006-001.pdf, object ID 483296573, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf. Page count: 30 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394923,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf
Confirmed record,1.002,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-02-08,"NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,52 pages,470760975,90009-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-001 | 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90009-001.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-001, NAID 470760975. Catalog URL: https://catalog.archives.gov/id/470760975. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf, object ID 483295786, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf. Page count: 52 (measured from available PDF). FOIA tracking: 2005-0052-F, 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760975,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf
Confirmed record,1.003,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-02-10,"NSC0001 - February 10, 1989 - Afghanistan",Restricted - Possibly,20 pages,470760885,90000-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-001 | 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0001 - February 10, 1989 - Afghanistan, OA/ID 90000-001.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC) Meeting Files, 90000-001, NAID 470760885. Catalog URL: https://catalog.archives.gov/id/470760885. Series URL: https://catalog.archives.gov/id/312293887. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf, object ID 483296377, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf. Page count: 20 (measured from available PDF). FOIA tracking: 2005-1003-F, 2005-0052-F, 2009-0857-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90000. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426212, CF01625-001.",https://catalog.archives.gov/id/470760885,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf
Confirmed record,1.004,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-02-13,"NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)",Restricted - Possibly,52 pages,446396813,90003-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-004 | 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM), OA/ID 90003-004.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Directive (NSD) Files, 90003-004, NAID 446396813. Catalog URL: https://catalog.archives.gov/id/446396813. Series URL: https://catalog.archives.gov/id/313189290. Digital object: 41-bpr-nsc-hfiles-nsd-3-90003-004.pdf, object ID 483296494, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf. Page count: 52 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396813,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf
Confirmed record,4.001,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Regional,1989-02-22,"NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia",Restricted - Possibly,95 pages,446394933,90006-011,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Review (NSR) Files | 90006-011 | 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia, OA/ID 90006-011.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Review (NSR) Files, 90006-011, NAID 446394933. Catalog URL: https://catalog.archives.gov/id/446394933. Series URL: https://catalog.archives.gov/id/313189297. Digital object: 41-bpr-nsc-hfiles-nsr-8-90006-011.pdf, object ID 483296636, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf. Page count: 95 (measured from available PDF). Other finding aid identifier: Pres-Bush. Container: 90006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446394933,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf
Confirmed record,3.001,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,India,1989-02-23,Memorandum of Conversation,Full,9 pages,428079855,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-23--Venkataraman.pdf,Bush Library citation-marker extraction; original classification Confidential.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Confidential.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/23/1989; Type Memcon; Participants Venkataraman, Ramaswamy Iyer; Country India; Release Status Full; NAID 428079855. National Archives Catalog item: President's Meeting with President Ramaswamy Iyer Venkataraman of India, February 23, 1989, NAID 428079855. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-23--Venkataraman.pdf, object ID 428079856, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 55-63.",https://catalog.archives.gov/id/428079855,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-23--Venkataraman.pdf
Confirmed record,1.005,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Afghanistan,1989-02-24,Memorandum of Conversation,Declassified,4 pages,366551660,91107-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001 | source pages 75-78 | 41-bpr-scow-pcor-memcon-91107-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, OA/ID 91107-001, source pages 75-78.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 75-78.",https://catalog.archives.gov/id/366551660,documents/afghanistan/1989-02-24-bush-turgut-ozal-memcon-scowcroft.pdf
Confirmed record,2.003,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-02-24,Memorandum of Conversation,Full,7 pages,428079859,[Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989 | 1989-02-24--Bhutto.pdf,Bush Library citation-marker extraction; original classification Secret.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-002, [Memorandum of Conversations (Memcons) - January 1989-May 1989]: February 1989. Secret.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/24/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428079859. National Archives Catalog item: President's Meeting with Prime Minister Benazir Bhutto of Pakistan, February 24, 1989, NAID 428079859. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-January 1989-May 1989]: February 1989, NAID 325377380. Digital object: 1989-02-24--Bhutto.pdf, object ID 428079860, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551660, 91107-001, source pages 79-85.",https://catalog.archives.gov/id/428079859,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-02-24--Bhutto.pdf
